IndvID	Population	Probability	AFR,AJ,AMR,DOMI,EAS,EUR,SAS	EigenValues
RU572	DOMI	0.86188318241672812	0.02,0.0,0.11,0.86,0.0,0.01,0.0	0.0023,0.0080,0.0077,0.0038,0.0019,0.0004,0.0155,0.0030,0.0048,-0.0003
RU574	AMR	0.96692086345027517	0.0,0.0,0.97,0.03,0.0,0.0,0.0	-0.0055,0.0083,0.0127,0.0113,-0.0065,-0.0075,-0.0139,0.0050,0.0167,-0.0207
RU582	EUR	0.99692307692307691	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0098,0.0189,0.0071,-0.0086,0.0214,-0.0014,0.0301,-0.0213,0.0113,-0.0097
RU587	EUR	0.84244627057530286	0.01,0.14,0.0,0.01,0.0,0.84,0.0	-0.0100,0.0169,0.0005,-0.0113,-0.0149,-0.0014,0.0026,0.0256,-0.0066,0.0165
RU594	EUR	0.995	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0100,0.0184,0.0081,-0.0088,0.0150,-0.0045,-0.0055,-0.0118,-0.0008,0.0338
RU595	EUR	0.68902413386739769	0.02,0.08,0.1,0.1,0.0,0.69,0.0	-0.0052,0.0156,0.0013,-0.0092,0.0022,-0.0005,-0.0109,-0.0016,-0.0018,0.0111
RU598	AJ	0.89737874990506572	0.0,0.9,0.01,0.01,0.0,0.09,0.0	-0.0085,0.0156,0.0062,-0.0114,-0.0452,-0.0114,-0.0247,0.0058,0.0041,-0.0355
RU599	DOMI	0.76871804249864883	0.03,0.0,0.2,0.77,0.0,0.0,0.0	0.0073,0.0046,0.0098,0.0029,0.0033,-0.0063,0.0005,0.0190,0.0155,0.0019
RU601	EUR	0.45673805932629463	0.15,0.01,0.08,0.1,0.18,0.46,0.02	-0.0122,-0.0058,0.0060,-0.0133,0.0133,0.0146,-0.0012,-0.0115,0.0240,-0.0310
RU615	DOMI	0.48696026720239616	0.05,0.0,0.45,0.49,0.0,0.01,0.0	0.0118,0.0023,0.0063,0.0102,0.0000,-0.0062,-0.0052,0.0072,0.0119,-0.0192
RU620	EUR	0.85110924369747887	0.0,0.0,0.01,0.0,0.14,0.85,0.0	-0.0116,0.0163,0.0067,-0.0104,0.0099,0.0094,0.0122,0.0317,-0.0069,-0.0008
RU622	EUR	0.99532324929971994	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0105,0.0168,0.0084,-0.0070,0.0073,-0.0019,-0.0223,0.0114,0.0134,-0.0177
